date,adjClose
2015-04-13 00:00:00+00:00,22.6062455752
2015-04-14 00:00:00+00:00,22.7011965542
2015-04-15 00:00:00+00:00,22.7011965542
2015-04-16 00:00:00+00:00,22.3926849984
2015-04-17 00:00:00+00:00,21.9346256507
2015-04-20 00:00:00+00:00,22.139403262
2015-04-21 00:00:00+00:00,22.3293052199
2015-04-22 00:00:00+00:00,22.2185290778
2015-04-23 00:00:00+00:00,22.0919277725
2015-04-24 00:00:00+00:00,22.2422668225
2015-04-27 00:00:00+00:00,22.62998332
2015-04-28 00:00:00+00:00,22.4163436173
2015-04-29 00:00:00+00:00,22.0761026093
2015-04-30 00:00:00+00:00,22.0768938675
2015-05-01 00:00:00+00:00,22.3451303831
2015-05-04 00:00:00+00:00,22.4242561989
2015-05-05 00:00:00+00:00,21.9495013041
2015-05-06 00:00:00+00:00,22.2976548936
2015-05-07 00:00:00+00:00,22.2065019538
2015-05-08 00:00:00+00:00,22.7407594621
2015-05-11 00:00:00+00:00,22.4130994589
2015-05-12 00:00:00+00:00,22.3087325078
2015-05-13 00:00:00+00:00,22.2264416594
2015-05-14 00:00:00+00:00,22.78032237
2015-05-15 00:00:00+00:00,22.7328468805
2015-05-18 00:00:00+00:00,22.7485929179
2015-05-19 00:00:00+00:00,22.8040601147
2015-05-20 00:00:00+00:00,22.7644972068
2015-05-21 00:00:00+00:00,22.7961475332
2015-05-22 00:00:00+00:00,22.5143805031
2015-05-26 00:00:00+00:00,21.7675910535
2015-05-27 00:00:00+00:00,22.162587126
2015-05-28 00:00:00+00:00,22.0207936641
2015-05-29 00:00:00+00:00,21.6725609487
2015-06-01 00:00:00+00:00,21.6383785963
2015-06-02 00:00:00+00:00,21.8387251619
2015-06-03 00:00:00+00:00,22.2106164962
2015-06-04 00:00:00+00:00,21.9099383962
2015-06-05 00:00:00+00:00,21.4799687131
2015-06-08 00:00:00+00:00,21.423314629
2015-06-09 00:00:00+00:00,21.3560576855
2015-06-10 00:00:00+00:00,22.0365397014
2015-06-11 00:00:00+00:00,21.9969767935
2015-06-12 00:00:00+00:00,21.7911705466
2015-06-15 00:00:00+00:00,21.4510086645
2015-06-16 00:00:00+00:00,21.4351835013
2015-06-17 00:00:00+00:00,21.3560576855
2015-06-18 00:00:00+00:00,21.8388042877
2015-06-19 00:00:00+00:00,21.6092602961
2015-06-22 00:00:00+00:00,22.4400022362
2015-06-23 00:00:00+00:00,22.2715433744
2015-06-24 00:00:00+00:00,22.0193907634
2015-06-25 00:00:00+00:00,22.1124047818
2015-06-26 00:00:00+00:00,22.1747337631
2015-06-29 00:00:00+00:00,21.3276988879
2015-06-30 00:00:00+00:00,21.1606092724
2015-07-01 00:00:00+00:00,21.2557808324
2015-07-02 00:00:00+00:00,21.2477899374
2015-07-06 00:00:00+00:00,20.8242724997
2015-07-07 00:00:00+00:00,20.8002998146
2015-07-08 00:00:00+00:00,20.4487004324
2015-07-09 00:00:00+00:00,20.8915558361
2015-07-10 00:00:00+00:00,21.9110342265
2015-07-13 00:00:00+00:00,21.847266884
2015-07-14 00:00:00+00:00,21.8790706463
2015-07-15 00:00:00+00:00,21.7911708008
2015-07-16 00:00:00+00:00,21.990943177
2015-07-17 00:00:00+00:00,21.8982487944
2015-07-20 00:00:00+00:00,21.9350069117
2015-07-21 00:00:00+00:00,21.9030433315
2015-07-22 00:00:00+00:00,21.6872891651
2015-07-23 00:00:00+00:00,21.7312390879
2015-07-24 00:00:00+00:00,21.351671573
2015-07-27 00:00:00+00:00,21.1039538265
2015-07-28 00:00:00+00:00,21.3676533631
2015-07-29 00:00:00+00:00,21.3117170978
2015-07-30 00:00:00+00:00,21.1758718819
2015-07-31 00:00:00+00:00,21.3757241671
2015-08-03 00:00:00+00:00,21.5434530542
2015-08-04 00:00:00+00:00,21.5714211869
2015-08-05 00:00:00+00:00,21.8151434859
2015-08-06 00:00:00+00:00,21.7752689196
2015-08-07 00:00:00+00:00,21.7751890107
2015-08-10 00:00:00+00:00,22.0468794424
2015-08-11 00:00:00+00:00,21.5354621592
2015-08-12 00:00:00+00:00,21.3037262027
2015-08-13 00:00:00+00:00,21.2158263572
2015-08-14 00:00:00+00:00,21.1650042647
2015-08-17 00:00:00+00:00,21.0156544362
2015-08-18 00:00:00+00:00,20.7539526233
2015-08-19 00:00:00+00:00,20.5604930541
2015-08-20 00:00:00+00:00,19.9772376245
2015-08-21 00:00:00+00:00,19.6192455262
