Date,VUSA.DE,VWCE.DE,IS3N.DE,EXS1.DE,VECP.DE
2020-01-02,51.249114990234375,77.4000015258789,27.371999740600586,114.63999938964844,49.177345275878906
2020-01-03,51.32377243041992,77.3499984741211,27.232999801635742,113.13999938964844,49.230125427246094
2020-01-06,51.21178436279297,77.0999984741211,26.96500015258789,112.4800033569336,49.228294372558594
2020-01-07,51.551490783691406,77.58999633789062,27.07900047302246,113.23999786376953,49.18099594116211
2020-01-08,51.80160903930664,77.80000305175781,27.174999237060547,114.19999694824219,49.100921630859375
2020-01-09,52.24769973754883,78.4000015258789,27.49799919128418,115.62000274658203,49.05905532836914
2020-01-10,52.206626892089844,78.37999725341797,27.608999252319336,115.55999755859375,49.0699577331543
2020-01-13,52.13384246826172,78.3499984741211,27.816999435424805,115.12000274658203,48.99352264404297
2020-01-14,52.348487854003906,78.62000274658203,27.760000228881836,115.26000213623047,49.02262496948242
2020-01-15,52.382083892822266,78.58000183105469,27.613000869750977,115.0,49.099090576171875
2020-01-16,52.62100601196289,78.91000366210938,27.7810001373291,115.04000091552734,49.14276123046875
2020-01-17,53.08576965332031,79.54000091552734,27.959999084472656,115.81999969482422,49.23923110961914
2020-01-20,53.156700134277344,79.62000274658203,27.954999923706055,116.04000091552734,49.23740768432617
2020-01-21,53.14550018310547,79.37000274658203,27.506999969482422,116.12000274658203,49.29744338989258
2020-01-22,53.250030517578125,79.52999877929688,27.649999618530273,115.72000122070312,49.3557014465332
2020-01-23,53.115638732910156,79.19000244140625,27.249000549316406,114.73999786376953,49.36689376831055
2020-01-24,53.289215087890625,79.54000091552734,27.426000595092773,116.27999877929688,49.412418365478516
2020-01-27,52.251434326171875,77.69000244140625,26.400999069213867,113.19999694824219,49.456119537353516
2020-01-28,52.7740592956543,78.51000213623047,26.65999984741211,114.08000183105469,49.39604187011719
2020-01-29,52.9532470703125,78.77999877929688,26.802000045776367,114.31999969482422,49.483436584472656
2020-01-30,52.35969161987305,77.80000305175781,26.14299964904785,112.77999877929688,49.499813079833984
2020-01-31,51.83146667480469,76.79000091552734,25.645000457763672,111.27999877929688,49.57084274291992
2020-02-03,52.124515533447266,77.2699966430664,25.992000579833984,111.66000366210938,49.57994079589844
2020-02-04,53.074562072753906,78.86000061035156,26.854999542236328,113.77999877929688,49.56174087524414
2020-02-05,53.5374755859375,79.52999877929688,26.98200035095215,115.4000015258789,49.48525619506836
2020-02-06,54.00597381591797,80.0999984741211,27.142000198364258,116.16000366210938,49.492530822753906
2020-02-07,54.07503128051758,79.94999694824219,26.81800079345703,115.68000030517578,49.474334716796875
2020-02-10,54.276611328125,80.19000244140625,26.93600082397461,115.4800033569336,49.59271240234375
2020-02-11,54.668575286865234,80.88999938964844,27.312000274658203,116.72000122070312,49.52712631225586
2020-02-12,54.95975112915039,81.37000274658203,27.66900062561035,117.68000030517578,49.552642822265625
2020-02-13,55.269596099853516,81.61000061035156,27.58300018310547,117.66000366210938,49.55081558227539
2020-02-14,55.308799743652344,81.5199966430664,27.57200050354004,117.68000030517578,49.640045166015625
2020-02-17,55.51038360595703,81.83000183105469,27.7450008392334,117.9800033569336,49.589046478271484
2020-02-18,55.152015686035156,81.30000305175781,27.3799991607666,117.0999984741211,49.63457489013672
2020-02-19,55.76422882080078,82.11000061035156,27.68400001525879,118.0199966430664,49.64369583129883
2020-02-20,55.08107376098633,81.12000274658203,27.173999786376953,116.91999816894531,49.68324279785156
2020-02-21,54.71524429321289,80.5999984741211,27.038999557495117,116.19999694824219,49.69599533081055
2020-02-24,53.012977600097656,77.94000244140625,25.947999954223633,111.5999984741211,49.55754470825195
2020-02-25,52.03865051269531,76.7300033569336,25.906999588012695,109.41999816894531,49.53932189941406
2020-02-26,51.66907501220703,76.5,26.083999633789062,109.22000122070312,49.45370864868164
2020-02-27,49.321006774902344,73.37000274658203,25.1560001373291,105.87999725341797,49.31161117553711
2020-02-28,47.069969177246094,70.44000244140625,24.400999069213867,101.77999877929688,49.12214660644531
2020-03-02,48.03496170043945,71.37999725341797,24.645000457763672,101.58000183105469,49.26425552368164
2020-03-03,48.42506408691406,72.01000213623047,25.05500030517578,102.36000061035156,49.3261833190918
2020-03-04,48.80956268310547,72.63999938964844,25.21500015258789,103.66000366210938,49.41362380981445
2020-03-05,48.69757843017578,72.12000274658203,24.981000900268555,102.19999694824219,49.393585205078125
2020-03-06,46.37189483642578,68.98999786376953,23.868000030517578,98.76000213623047,49.082088470458984
2020-03-09,43.40132141113281,64.26000213623047,22.06599998474121,90.5999984741211,47.8797607421875
2020-03-10,43.310791015625,64.33000183105469,22.645000457763672,89.86000061035156,48.22225570678711
2020-03-11,43.71022415161133,64.63999938964844,22.579999923706055,89.33000183105469,48.23499298095703
2020-03-12,40.26182556152344,58.560001373291016,19.901500701904297,78.4800033569336,47.23124313354492
2020-03-13,40.88524627685547,59.709999084472656,21.202999114990234,78.79000091552734,47.3296012878418
2020-03-16,40.22542953491211,57.83000183105469,19.727500915527344,75.44000244140625,45.6190185546875
2020-03-17,40.469940185546875,58.790000915527344,20.299999237060547,76.20999908447266,45.34395980834961
2020-03-18,38.85446548461914,56.18000030517578,19.180500030517578,72.37000274658203,42.58589172363281
2020-03-19,39.8455924987793,57.849998474121094,19.162500381469727,73.63999938964844,44.64350509643555
2020-03-20,39.495609283447266,58.119998931884766,19.969999313354492,76.20999908447266,45.40407180786133
2020-03-23,37.00847625732422,54.65999984741211,18.870500564575195,74.75,45.14358139038086
